,Product code_x,Bureau of Meteorology station number_x,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality_x,Date,Product code_y,Bureau of Meteorology station number_y,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality_y,Product code,Bureau of Meteorology station number,Daily global solar exposure (MJ/m*m)
0,IDCJAC0009,40913,0.0,1.0,N,2014-01-01,IDCJAC0010,40913,30.6,1.0,Y,IDCJAC0016,40913,31.2
1,IDCJAC0009,40913,0.0,1.0,N,2014-01-02,IDCJAC0010,40913,31.8,1.0,Y,IDCJAC0016,40913,23.4
2,IDCJAC0009,40913,1.0,1.0,N,2014-01-03,IDCJAC0010,40913,34.5,1.0,Y,IDCJAC0016,40913,29.6
3,IDCJAC0009,40913,0.0,1.0,N,2014-01-04,IDCJAC0010,40913,38.7,1.0,Y,IDCJAC0016,40913,30.5
4,IDCJAC0009,40913,0.0,1.0,N,2014-01-05,IDCJAC0010,40913,33.6,1.0,Y,IDCJAC0016,40913,15.7
5,IDCJAC0009,40913,0.0,1.0,N,2014-01-06,IDCJAC0010,40913,34.8,1.0,Y,IDCJAC0016,40913,18.7
6,IDCJAC0009,40913,40.2,1.0,N,2014-01-07,IDCJAC0010,40913,31.2,1.0,Y,IDCJAC0016,40913,27.2
7,IDCJAC0009,40913,0.4,1.0,N,2014-01-08,IDCJAC0010,40913,29.6,1.0,Y,IDCJAC0016,40913,22.1
8,IDCJAC0009,40913,0.2,1.0,N,2014-01-09,IDCJAC0010,40913,28.6,1.0,Y,IDCJAC0016,40913,19.8
9,IDCJAC0009,40913,1.4,1.0,N,2014-01-10,IDCJAC0010,40913,27.8,1.0,Y,IDCJAC0016,40913,14.0
10,IDCJAC0009,40913,0.0,1.0,N,2014-01-11,IDCJAC0010,40913,29.8,1.0,Y,IDCJAC0016,40913,22.6
11,IDCJAC0009,40913,0.0,1.0,N,2014-01-12,IDCJAC0010,40913,30.6,1.0,Y,IDCJAC0016,40913,27.5
12,IDCJAC0009,40913,0.0,1.0,N,2014-01-13,IDCJAC0010,40913,29.6,1.0,Y,IDCJAC0016,40913,24.6
13,IDCJAC0009,40913,0.0,1.0,N,2014-01-14,IDCJAC0010,40913,30.2,1.0,Y,IDCJAC0016,40913,23.8
14,IDCJAC0009,40913,0.0,1.0,N,2014-01-15,IDCJAC0010,40913,30.4,1.0,Y,IDCJAC0016,40913,26.4
15,IDCJAC0009,40913,0.0,1.0,N,2014-01-16,IDCJAC0010,40913,30.6,1.0,Y,IDCJAC0016,40913,25.3
16,IDCJAC0009,40913,0.2,1.0,N,2014-01-17,IDCJAC0010,40913,30.8,1.0,Y,IDCJAC0016,40913,28.8
17,IDCJAC0009,40913,0.0,1.0,N,2014-01-18,IDCJAC0010,40913,30.4,1.0,Y,IDCJAC0016,40913,24.0
18,IDCJAC0009,40913,0.0,1.0,N,2014-01-19,IDCJAC0010,40913,31.8,1.0,Y,IDCJAC0016,40913,30.2
19,IDCJAC0009,40913,0.0,1.0,N,2014-01-20,IDCJAC0010,40913,33.5,1.0,Y,IDCJAC0016,40913,29.9
20,IDCJAC0009,40913,0.0,1.0,N,2014-01-21,IDCJAC0010,40913,32.9,1.0,Y,IDCJAC0016,40913,29.7
21,IDCJAC0009,40913,0.0,1.0,N,2014-01-22,IDCJAC0010,40913,35.3,1.0,Y,IDCJAC0016,40913,26.9
22,IDCJAC0009,40913,2.2,1.0,N,2014-01-23,IDCJAC0010,40913,30.1,1.0,Y,IDCJAC0016,40913,6.0
23,IDCJAC0009,40913,94.0,1.0,N,2014-01-24,IDCJAC0010,40913,29.2,1.0,Y,IDCJAC0016,40913,16.6
24,IDCJAC0009,40913,2.0,1.0,N,2014-01-25,IDCJAC0010,40913,28.7,1.0,Y,IDCJAC0016,40913,11.1
25,IDCJAC0009,40913,1.2,1.0,N,2014-01-26,IDCJAC0010,40913,28.5,1.0,Y,IDCJAC0016,40913,26.6
26,IDCJAC0009,40913,0.0,1.0,N,2014-01-27,IDCJAC0010,40913,28.6,1.0,Y,IDCJAC0016,40913,22.3
27,IDCJAC0009,40913,0.0,1.0,N,2014-01-28,IDCJAC0010,40913,26.7,1.0,Y,IDCJAC0016,40913,17.4
28,IDCJAC0009,40913,0.8,1.0,N,2014-01-29,IDCJAC0010,40913,27.4,1.0,Y,IDCJAC0016,40913,18.1
29,IDCJAC0009,40913,0.2,1.0,N,2014-01-30,IDCJAC0010,40913,28.4,1.0,Y,IDCJAC0016,40913,19.6
30,IDCJAC0009,40913,0.0,1.0,N,2014-01-31,IDCJAC0010,40913,26.9,1.0,Y,IDCJAC0016,40913,12.0
31,IDCJAC0009,40913,0.0,1.0,N,2014-02-01,IDCJAC0010,40913,28.8,1.0,Y,IDCJAC0016,40913,22.3
32,IDCJAC0009,40913,0.0,1.0,N,2014-02-02,IDCJAC0010,40913,30.0,1.0,Y,IDCJAC0016,40913,22.9
33,IDCJAC0009,40913,1.6,1.0,N,2014-02-03,IDCJAC0010,40913,28.7,1.0,Y,IDCJAC0016,40913,20.1
34,IDCJAC0009,40913,0.6,1.0,N,2014-02-04,IDCJAC0010,40913,29.7,1.0,Y,IDCJAC0016,40913,24.0
35,IDCJAC0009,40913,0.0,1.0,N,2014-02-05,IDCJAC0010,40913,29.9,1.0,Y,IDCJAC0016,40913,23.1
36,IDCJAC0009,40913,0.2,1.0,N,2014-02-06,IDCJAC0010,40913,27.4,1.0,Y,IDCJAC0016,40913,18.4
37,IDCJAC0009,40913,0.0,1.0,N,2014-02-07,IDCJAC0010,40913,28.6,1.0,Y,IDCJAC0016,40913,17.5
38,IDCJAC0009,40913,0.0,1.0,N,2014-02-08,IDCJAC0010,40913,29.2,1.0,Y,IDCJAC0016,40913,21.6
39,IDCJAC0009,40913,0.0,1.0,N,2014-02-09,IDCJAC0010,40913,29.1,1.0,Y,IDCJAC0016,40913,11.3
40,IDCJAC0009,40913,0.0,1.0,N,2014-02-10,IDCJAC0010,40913,28.8,1.0,Y,IDCJAC0016,40913,18.1
41,IDCJAC0009,40913,0.0,1.0,N,2014-02-11,IDCJAC0010,40913,29.2,1.0,Y,IDCJAC0016,40913,23.6
42,IDCJAC0009,40913,0.0,1.0,N,2014-02-12,IDCJAC0010,40913,29.8,1.0,Y,IDCJAC0016,40913,22.4
43,IDCJAC0009,40913,0.0,1.0,N,2014-02-13,IDCJAC0010,40913,30.8,1.0,Y,IDCJAC0016,40913,24.0
44,IDCJAC0009,40913,,,,2014-02-14,IDCJAC0010,40913,30.0,1.0,Y,IDCJAC0016,40913,18.7
45,IDCJAC0009,40913,0.0,1.0,N,2014-02-15,IDCJAC0010,40913,31.6,1.0,Y,IDCJAC0016,40913,26.4
46,IDCJAC0009,40913,0.0,1.0,N,2014-02-16,IDCJAC0010,40913,32.6,1.0,Y,IDCJAC0016,40913,26.9
47,IDCJAC0009,40913,0.0,1.0,N,2014-02-17,IDCJAC0010,40913,34.1,1.0,Y,IDCJAC0016,40913,24.3
48,IDCJAC0009,40913,8.4,1.0,N,2014-02-18,IDCJAC0010,40913,31.3,1.0,Y,IDCJAC0016,40913,18.4
49,IDCJAC0009,40913,0.2,1.0,N,2014-02-19,IDCJAC0010,40913,31.9,1.0,Y,IDCJAC0016,40913,25.9
50,IDCJAC0009,40913,0.0,1.0,N,2014-02-20,IDCJAC0010,40913,33.4,1.0,Y,IDCJAC0016,40913,21.3
51,IDCJAC0009,40913,0.0,1.0,N,2014-02-21,IDCJAC0010,40913,34.0,1.0,Y,IDCJAC0016,40913,18.3
52,IDCJAC0009,40913,2.2,1.0,N,2014-02-22,IDCJAC0010,40913,27.4,1.0,Y,IDCJAC0016,40913,4.7
53,IDCJAC0009,40913,0.0,1.0,N,2014-02-23,IDCJAC0010,40913,30.2,1.0,Y,IDCJAC0016,40913,24.4
54,IDCJAC0009,40913,1.2,1.0,N,2014-02-24,IDCJAC0010,40913,28.5,1.0,Y,IDCJAC0016,40913,20.2
55,IDCJAC0009,40913,1.4,1.0,N,2014-02-25,IDCJAC0010,40913,29.6,1.0,Y,IDCJAC0016,40913,22.5
56,IDCJAC0009,40913,0.0,1.0,N,2014-02-26,IDCJAC0010,40913,29.5,1.0,Y,IDCJAC0016,40913,22.6
57,IDCJAC0009,40913,0.0,1.0,N,2014-02-27,IDCJAC0010,40913,30.7,1.0,Y,IDCJAC0016,40913,26.3
58,IDCJAC0009,40913,0.0,1.0,N,2014-02-28,IDCJAC0010,40913,30.9,1.0,Y,IDCJAC0016,40913,18.8
59,IDCJAC0009,40913,0.6,1.0,N,2014-03-01,IDCJAC0010,40913,30.4,1.0,Y,IDCJAC0016,40913,22.8
60,IDCJAC0009,40913,0.0,1.0,N,2014-03-02,IDCJAC0010,40913,30.2,1.0,Y,IDCJAC0016,40913,17.8
61,IDCJAC0009,40913,1.6,1.0,N,2014-03-03,IDCJAC0010,40913,27.8,1.0,Y,IDCJAC0016,40913,14.7
62,IDCJAC0009,40913,4.6,1.0,N,2014-03-04,IDCJAC0010,40913,28.6,1.0,Y,IDCJAC0016,40913,20.7
63,IDCJAC0009,40913,3.4,1.0,N,2014-03-05,IDCJAC0010,40913,27.9,1.0,Y,IDCJAC0016,40913,13.8
64,IDCJAC0009,40913,0.0,1.0,N,2014-03-06,IDCJAC0010,40913,29.1,1.0,Y,IDCJAC0016,40913,23.7
65,IDCJAC0009,40913,0.0,1.0,N,2014-03-07,IDCJAC0010,40913,28.8,1.0,Y,IDCJAC0016,40913,15.8
