,Rainfall amount (millimetres),Date,Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m)
0,0.0,2014-01-01,30.6,31.2
1,0.0,2014-01-02,31.8,23.4
2,1.0,2014-01-03,34.5,29.6
3,0.0,2014-01-04,38.7,30.5
4,0.0,2014-01-05,33.6,15.7
5,0.0,2014-01-06,34.8,18.7
6,40.2,2014-01-07,31.2,27.2
7,0.4,2014-01-08,29.6,22.1
8,0.2,2014-01-09,28.6,19.8
9,1.4,2014-01-10,27.8,14.0
10,0.0,2014-01-11,29.8,22.6
11,0.0,2014-01-12,30.6,27.5
12,0.0,2014-01-13,29.6,24.6
13,0.0,2014-01-14,30.2,23.8
14,0.0,2014-01-15,30.4,26.4
15,0.0,2014-01-16,30.6,25.3
16,0.2,2014-01-17,30.8,28.8
17,0.0,2014-01-18,30.4,24.0
18,0.0,2014-01-19,31.8,30.2
19,0.0,2014-01-20,33.5,29.9
20,0.0,2014-01-21,32.9,29.7
21,0.0,2014-01-22,35.3,26.9
22,2.2,2014-01-23,30.1,6.0
23,94.0,2014-01-24,29.2,16.6
24,2.0,2014-01-25,28.7,11.1
25,1.2,2014-01-26,28.5,26.6
26,0.0,2014-01-27,28.6,22.3
27,0.0,2014-01-28,26.7,17.4
28,0.8,2014-01-29,27.4,18.1
29,0.2,2014-01-30,28.4,19.6
30,0.0,2014-01-31,26.9,12.0
31,0.0,2014-02-01,28.8,22.3
32,0.0,2014-02-02,30.0,22.9
33,1.6,2014-02-03,28.7,20.1
34,0.6,2014-02-04,29.7,24.0
35,0.0,2014-02-05,29.9,23.1
36,0.2,2014-02-06,27.4,18.4
37,0.0,2014-02-07,28.6,17.5
38,0.0,2014-02-08,29.2,21.6
39,0.0,2014-02-09,29.1,11.3
40,0.0,2014-02-10,28.8,18.1
41,0.0,2014-02-11,29.2,23.6
42,0.0,2014-02-12,29.8,22.4
43,0.0,2014-02-13,30.8,24.0
44,,2014-02-14,30.0,18.7
45,0.0,2014-02-15,31.6,26.4
46,0.0,2014-02-16,32.6,26.9
47,0.0,2014-02-17,34.1,24.3
48,8.4,2014-02-18,31.3,18.4
49,0.2,2014-02-19,31.9,25.9
50,0.0,2014-02-20,33.4,21.3
51,0.0,2014-02-21,34.0,18.3
52,2.2,2014-02-22,27.4,4.7
53,0.0,2014-02-23,30.2,24.4
54,1.2,2014-02-24,28.5,20.2
55,1.4,2014-02-25,29.6,22.5
56,0.0,2014-02-26,29.5,22.6
57,0.0,2014-02-27,30.7,26.3
58,0.0,2014-02-28,30.9,18.8
59,0.6,2014-03-01,30.4,22.8
60,0.0,2014-03-02,30.2,17.8
61,1.6,2014-03-03,27.8,14.7
62,4.6,2014-03-04,28.6,20.7
63,3.4,2014-03-05,27.9,13.8
64,0.0,2014-03-06,29.1,23.7
65,0.0,2014-03-07,28.8,15.8
66,0.2,2014-03-08,28.9,20.5
67,1.2,2014-03-09,28.3,15.4
68,2.2,2014-03-10,28.9,21.4
69,4.6,2014-03-11,28.7,19.9
70,0.8,2014-03-12,29.3,20.8
71,0.0,2014-03-13,29.6,22.5
72,0.0,2014-03-14,29.0,19.2
73,0.6,2014-03-15,30.2,23.1
74,0.0,2014-03-16,32.8,23.6
75,4.6,2014-03-17,31.8,22.9
76,0.2,2014-03-18,32.0,19.0
77,0.0,2014-03-19,30.6,18.8
78,0.6,2014-03-20,30.0,21.4
79,0.2,2014-03-21,29.0,15.3
80,0.6,2014-03-22,29.5,18.9
81,0.0,2014-03-23,31.6,20.5
82,0.0,2014-03-24,28.8,16.2
83,22.4,2014-03-25,26.5,7.3
84,21.6,2014-03-26,27.2,8.8
85,5.6,2014-03-27,23.8,3.0
86,82.6,2014-03-28,28.9,10.6
87,3.2,2014-03-29,32.6,20.0
88,0.8,2014-03-30,25.6,3.8
89,2.2,2014-03-31,29.3,16.8
90,0.6,2014-04-01,29.3,20.0
91,0.0,2014-04-02,29.9,20.0
92,0.0,2014-04-03,29.5,20.7
93,0.0,2014-04-04,29.5,17.2
94,0.0,2014-04-05,30.9,20.6
95,0.0,2014-04-06,31.0,17.3
96,1.8,2014-04-07,27.8,14.4
97,0.0,2014-04-08,27.0,13.0
98,0.0,2014-04-09,27.8,17.9
99,0.0,2014-04-10,26.3,17.0
